oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
Honor,20 lite,2019,2019,154.8 x 73.6 x 8 mm (6.09 x 2.90 x 0.31 in),164.0,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors",6.21,"1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9.0 (Pie)
HP,Slate8 Pro,2013,Discontinued,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),6.0,,"Capacitive touchscreen, 16M colors",8.0,"1200 x 1600 pixels, 4:3 ratio (~250 ppi density)","Accelerometer, gyro, compass",Android 4.2.2 (Jelly Bean)
HTC,U20 5G,2020,2020,171.2 x 78.1 x 9.4 mm (6.74 x 3.07 x 0.37 in),5.0,"Dual SIM (Nano-SIM, dual stand-by)","Capacitive touchscreen, 16M colors",6.8,"1080 x 2400 pixels, 20:9 ratio (~387 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, SAR",Android 10
HTC,Desire 20 Pro,2020,2020,162 x 77 x 9.4 mm (6.38 x 3.03 x 0.37 in),201.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
HTC,Wildfire R70,2020,2020,163.2 x 77.8 x 8.9 mm (6.43 x 3.06 x 0.35 in),186.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.53,"720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9 (Pie)
HTC,Desire 19s,2019,2019,156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9 (Pie)
HTC,Exodus 1s,2019,2019,154.2 x 72.7 x 8.3 mm (6.07 x 2.86 x 0.33 in),150.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",5.7,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 8.1 (Oreo)
HTC,Wildfire X,2019,2019,156.7 x 74.9 x 8 mm (6.17 x 2.95 x 0.31 in),160.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 9 (Pie)
HTC,U19e,2019,2019,156.6 x 75.9 x 8 mm (6.17 x 2.99 x 0.31 in),180.0,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors",6.0,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)","Iris scanner, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 9.0 (Pie)
HTC,Desire 19+,2019,2019,156.2 x 74.8 x 8.5 mm (6.15 x 2.94 x 0.33 in),170.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.2,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 9 (Pie)
HTC,Schubert,,Discontinued,,0.0,Mini-SIM,"TFT capacitive touchscreen, 16M colors",,,"Accelerometer, proximity",Microsoft Windows Phone 7
Huawei,Enjoy 20 Pro,2020,2020,160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),192.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
Huawei,Enjoy Z 5G,2020,2020,160 x 75.3 x 8.4 mm (6.30 x 2.96 x 0.33 in),182.0,"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors",6.5,"1080 x 2400 pixels, 20:9 ratio (~405 ppi density)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",Android 10
